name,site,type,subtypes,category,phone,full_address,rating,reviews,working_hours,other_hours,business_status,about,range,logo,description,verified,,,,,,,,
Applebee's Grill + Bar,https://applebeescanada.com/location/applebees-brandon/?utm_source=google,Restaurant,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",restaurants,+1 204-727-3019,"1204 18th St, Brandon, MB R7A 5C3",4,867,"{""Sunday"": ""11a.m.-10p.m."", ""Monday"": ""11a.m.-10p.m."", ""Tuesday"": ""11a.m.-10p.m."", ""Wednesday"": ""11a.m.-10p.m."", ""Thursday"": ""11a.m.-10p.m."", ""Friday"": ""11a.m.-11p.m."", ""Saturday"": ""11a.m.-11p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true, ""Sports"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on-site"": true, ""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$$,https://lh3.googleusercontent.com/-5bDID60fQLM/AAAAAAAAAAI/AAAAAAAAAAA/9oX1VNysVeo/s44-p-k-no-ns-nd/photo.jpg,Full-service chain bar & grill providing hearty American eats in an informal setting.,TRUE,,,,,,,,
Cranberry's Family Restaurant,https://order.feastify.com/?parentId=2673,Restaurant,Restaurant,restaurants,+1 204-728-0365,"912 Victoria Ave E, Brandon, MB R7A 2A4",4.1,138,"{""Sunday"": ""Closed"", ""Monday"": ""9a.m.-7p.m."", ""Tuesday"": ""9a.m.-7p.m."", ""Wednesday"": ""9a.m.-7p.m."", ""Thursday"": ""9a.m.-7p.m."", ""Friday"": ""9a.m.-7p.m."", ""Saturday"": ""9a.m.-7p.m.""}","[{""delivery"": {""Sunday"": ""Closed"", ""Monday"": ""10 a.m.-6:30 p.m."", ""Tuesday"": ""10 a.m.-6:30 p.m."", ""Wednesday"": ""10 a.m.-6:30 p.m."", ""Thursday"": ""10 a.m.-6:30 p.m."", ""Friday"": ""10 a.m.-6:30 p.m."", ""Saturday"": ""10 a.m.-6:30 p.m.""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Great tea selection"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$$,https://lh4.googleusercontent.com/-b70-4b8nFI4/AAAAAAAAAAI/AAAAAAAAAAA/ZK8nc8Vsss0/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Tim Hortons,https://locations.timhortons.ca/en/mb/brandon/1655-18th-st/,Coffee shop,"Coffee shop, Bakery, Breakfast restaurant, Cafe, Donut shop, Fast food restaurant",coffee shops,+1 204-571-0457,"1655 18th St, Brandon, MB R7A 5C6",3.9,762,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","[{""drive_through"": {""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great tea selection"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Parking"": true}}",$,https://lh6.googleusercontent.com/-obPdxDsd1K0/AAAAAAAAAAI/AAAAAAAAAAA/8f6Ajk5GVmk/s44-p-k-no-ns-nd/photo.jpg,"Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.",TRUE,,,,,,,,
Icy Spicy,https://www.facebook.com/brandonicyspicy,Fast food restaurant,Fast food restaurant,restaurants,+1 204-717-7717,"800 Rosser Ave, Brandon, MB R7A 6N5",4.7,38,"{""Sunday"": ""11a.m.-6p.m."", ""Monday"": ""10a.m.-8p.m."", ""Tuesday"": ""Closed"", ""Wednesday"": ""10a.m.-8p.m."", ""Thursday"": ""10a.m.-8p.m."", ""Friday"": ""10a.m.-8p.m."", ""Saturday"": ""10a.m.-8p.m.""}",,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",,https://lh5.googleusercontent.com/-fezP6jE2Iho/AAAAAAAAAAI/AAAAAAAAAAA/-JMSaRUZJiw/s44-p-k-no-ns-nd/photo.jpg,"East Indian Food, Different variety of Gujarati and Punjabi dishes and snacks.",TRUE,,,,,,,,
Royal Fork,https://www.royalfork.ca/onlinemenu/,Restaurant,Restaurant,restaurants,+1 204-729-3675,"935 Rosser Ave, Brandon, MB R7A 0L3",4.9,82,"{""Sunday"": ""12-9p.m."", ""Monday"": ""Closed"", ""Tuesday"": ""12-9p.m."", ""Wednesday"": ""12-9p.m."", ""Thursday"": ""12-9p.m."", ""Friday"": ""12-9p.m."", ""Saturday"": ""12-9p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,https://lh6.googleusercontent.com/-IaFEkf4APW4/AAAAAAAAAAI/AAAAAAAAAAA/4S-e9T2HhWY/s44-p-k-no-ns-nd/photo.jpg,The Indian Streetary,TRUE,,,,,,,,
Subway,https://restaurants.subway.com/canada/mb/brandon/750-victoria-avenue%3Futm_source%3Dyxt-goog%26utm_medium%3Dlocal%26utm_term%3Dacq%26utm_content%3D13932%26utm_campaign%3Devergreen-2020%26y_source%3D1_MTQ5MTk5MzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Sandwich shop,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",restaurants,+1 204-726-1167,"750 Victoria Ave Unit A, Brandon, MB R7A 1A5",3.7,148,"{""Sunday"": ""9a.m.-8p.m."", ""Monday"": ""7a.m.-10p.m."", ""Tuesday"": ""7a.m.-10p.m."", ""Wednesday"": ""7a.m.-10p.m."", ""Thursday"": ""7a.m.-10p.m."", ""Friday"": ""7a.m.-10p.m."", ""Saturday"": ""9a.m.-9p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Late-night food"": true, ""Vegan options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}",$,https://lh5.googleusercontent.com/-vrJhuFytQlg/AAAAAAAAAAI/AAAAAAAAAAA/9ZoqDdqtXaw/s44-p-k-no-ns-nd/photo.jpg,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",TRUE,,,,,,,,
Coffee Culture Cafe & Eatery,https://www.coffeeculturecafe.com/,Coffee store,"Coffee store, Bistro, Cafe, Coffee shop",Coffee store,+1 204-717-9100,"510 1st St, Brandon, MB R7A 2X1",4.4,496,"{""Sunday"": ""8a.m.-9p.m."", ""Monday"": ""6:30a.m.-10p.m."", ""Tuesday"": ""6:30a.m.-10p.m."", ""Wednesday"": ""6:30a.m.-10p.m."", ""Thursday"": ""6:30a.m.-10p.m."", ""Friday"": ""6:30a.m.-10p.m."", ""Saturday"": ""6:30a.m.-9p.m.""}",,OPERATIONAL,"{""Service options"": {""In-store pickup"": true, ""In-store shopping"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true}, ""Amenities"": {""Wi-Fi"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",$$,https://lh3.googleusercontent.com/-Zog-PtjUypk/AAAAAAAAAAI/AAAAAAAAAAA/S7REc9UXjrA/s44-p-k-no-ns-nd/photo.jpg,"Counter-serve coffeehouse chain with specialty drinks, baked goods & light eats in relaxed digs.",TRUE,,,,,,,,
Pizza Hut Brandon,https://www.pizzahut.ca/huts/ca-1/R10902?utm_source=google,Pizza restaurant,"Pizza restaurant, Delivery Service",restaurants,+1 204-726-0600,"1860 18th St N, Brandon, MB R7C 1A5",4.1,185,"{""Sunday"": ""11:30a.m.-12a.m."", ""Monday"": ""11a.m.-12a.m."", ""Tuesday"": ""11a.m.-12a.m."", ""Wednesday"": ""11a.m.-12a.m."", ""Thursday"": ""11a.m.-12a.m."", ""Friday"": ""11a.m.-12a.m."", ""Saturday"": ""11a.m.-12a.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": false}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Late-night food"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$$,https://lh6.googleusercontent.com/-FWY_ox6XlC0/AAAAAAAAAAI/AAAAAAAAAAA/CxhVmlMXzYM/s44-p-k-no-ns-nd/photo.jpg,"Popular delivery, carry-out & dine-in chain known for pizza, wings & pasta, plus sides & desserts.",TRUE,,,,,,,,
Aaltos,https://www.canadinns.com/stay/brandon/,Restaurant,Restaurant,restaurants,+1 204-578-3205,"1125 18th St, Brandon, MB R7A 7C5",2.2,11,"{""Sunday"": ""7a.m.-1p.m."", ""Monday"": ""7a.m.-1p.m."", ""Tuesday"": ""7a.m.-1p.m."", ""Wednesday"": ""7a.m.-1p.m."", ""Thursday"": ""7a.m.-1p.m."", ""Friday"": ""7a.m.-1p.m.,5-8p.m."", ""Saturday"": ""7a.m.-1p.m.,5-8p.m.""}",,OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}",,https://lh3.googleusercontent.com/-5ePfxYtGBqA/AAAAAAAAAAI/AAAAAAAAAAA/sT6QwsiiNRw/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Shawarma Queen Donair Kebab Buffet,http://www.shawarmaqueenbrandon.ca/,Mediterranean restaurant,"Mediterranean restaurant, African restaurant, Armenian restaurant, Greek restaurant, Indian restaurant, Kazakhstani restaurant, Lebanese restaurant, Mexican restaurant, Syrian restaurant, Turkish restaurant",restaurants,+1 204-571-6777,"2430 Victoria Ave #4, Brandon, MB R7B 0M5",4.6,634,"{""Sunday"": ""4p.m.-1a.m."", ""Monday"": ""11a.m.-1a.m."", ""Tuesday"": ""11a.m.-1a.m."", ""Wednesday"": ""11a.m.-1a.m."", ""Thursday"": ""11a.m.-1a.m."", ""Friday"": ""11a.m.-1a.m."", ""Saturday"": ""11a.m.-1a.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""All you can eat"": true, ""Coffee"": true, ""Halal food"": true, ""Healthy options"": true, ""Late-night food"": true, ""Small plates"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$,https://lh5.googleusercontent.com/-1jn_pw80pKs/AAAAAAAAAAI/AAAAAAAAAAA/bHjjWUjgKDM/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
